"","x","y","sst","chlo","a","b","phyto_max","dt"
"1505",-57.5,-62.5,0.476824810088645,0.257854245323929,-1.94956898378524,-0.998424499407198,-8,0.01
"1506",-52.5,-62.5,0.044841160586665,0.145745874149866,-2.9433527453914,-1.06681232389914,-8.1,0.01
"1507",-47.5,-62.5,0.0390929483232113,0.124858574576017,-3.19840111444175,-1.08351876260581,-8.1,0.01
"1508",-42.5,-62.5,0.0685378990259908,0.139847252133305,-3.01224115430742,-1.0713601424601,-8.1,0.01
"1509",-37.5,-62.5,0.000877586243651713,0.152433134577993,-2.8679531253038,-1.06180510312632,-8.1,0.01
"1510",-32.5,-62.5,-0.0585113839077085,0.120288110488462,-3.25866493251282,-1.08741299835678,-8.1,0.01
"1511",-27.5,-62.5,-0.0618325586672116,0.0941008645529918,-3.64229884756591,-1.11170264408457,-8.2,0.01
"1512",-22.5,-62.5,-0.00748068743911875,0.117669926502734,-3.29399156448372,-1.08968613139329,-8.2,0.01
"1513",-17.5,-62.5,-0.0425892493501882,0.179092668382363,-2.59240073825531,-1.04324775223268,-8.1,0.01
"1514",-12.5,-62.5,-0.051846478645545,0.131822081127208,-3.10982522101418,-1.077757716618,-8.1,0.01
"1515",-7.5,-62.5,-0.0135756834894596,0.121538237257143,-3.24200680220953,-1.08633862540559,-8.1,0.01
"1516",-2.5,-62.5,0.0460188581409577,0.128326361781241,-3.15381722652855,-1.08062450264632,-8.1,0.01
"1517",2.5,-62.5,0.08296520386214,0.144037113323478,-2.96307245076889,-1.0681168085678,-8.1,0.01
"1518",7.5,-62.5,0.0922408207383821,0.156651966457726,-2.8217771070633,-1.05872347564048,-8.1,0.01
"1519",12.5,-62.5,0.0832012802204849,0.151949751867285,-2.87331115531682,-1.06216193802627,-8.1,0.01
"1520",17.5,-62.5,0.0968416050838714,0.13578294033478,-3.06108533753952,-1.07456893207295,-8.1,0.01
"1521",22.5,-62.5,0.111948707368647,0.0972082379089893,-3.59290586748423,-1.10862548783025,-8.2,0.01
"1522",27.5,-62.5,0.116145733592801,0.0795827060252852,-3.89001470847779,-1.12689737138625,-8.2,0.01
"1523",32.5,-62.5,0.0998188162606956,0.0942283292816294,-3.64024953779446,-1.11157527835007,-8.2,0.01
"1524",37.5,-62.5,0.0895453815527585,0.0843393815732463,-3.80555636320626,-1.12176237587828,-8.2,0.01
